危险因子	疾病	 OR 	references
疾病史=HPV感染	宫颈癌	217.06	"1 周权, 黄民主, 黄霜, et al. 中国已婚妇女宫颈癌发病影响因素Meta分析[J]. 中国癌症杂志, 2011, 21(2):125-129.
2 万磊, 李隆玉, 曾四元, et al. 中国近10年已婚妇女宫颈癌发病因素Meta分析[J]. 中国综合临床, 2013(s1)."
疾病史=EB病毒感染	鼻咽癌	131.34	杨业春，陈楚玉 ，钟玉霖. 鼻咽癌危险因子的危险度计算及其意义[J] . 中国医院统计，2011，18(1)：58-61
用药史=静脉注射吸毒史	丙肝	44.9	苏迎盈, & 汪宁. (2011). 丙型肝炎病毒感染主要危险因素的meta分析. 中华流行病学杂志, 32(9), 940-945.
丙肝史	肝癌	 32.0 	叶家才,崔书中,巴明臣.原发性肝癌的流行病学特征及其危险因素[J].实用医学杂志.2008(24):1839-1841
疾病史.消化系统=胰腺炎	胰腺癌	30.3	施健[1], 吴诚[1], 刘苏[1], & 谢渭芬[1]. (2004). 我国胰腺癌部分发病危险因素的meta分析. 中华胰腺病杂志(3).
乙肝史	肝癌	 18.8 	叶家才,崔书中,巴明臣.原发性肝癌的流行病学特征及其危险因素[J].实用医学杂志.2008(24):1839-1841
疾病史=鼻咽疾病	鼻咽癌	16.72	韩旻雁，银恭举 ，陈维清. 中国人群鼻咽癌发病危险因素的Meta分析[J] . 中国热带医学，2005，5(7)：1442-1443
糖尿病 and 男	肝癌	 11.8 	叶家才,崔书中,巴明臣.原发性肝癌的流行病学特征及其危险因素[J].实用医学杂志.2008(24):1839-1841
乙肝史	肝癌	 10.0 	曾运红,谭卫仙.原发性肝癌发病主要危险因素的Meta分析[J].现代预防医学,2004(31):172-174
疾病史.消化系统=乙肝感染	肝癌	 8.9 	曾运红,谭卫仙.原发性肝癌发病主要危险因素的Meta分析[J].现代预防医学,2004(31):172-174
疾病史.消化系统=结直肠腺瘤性息肉	肠癌	8.73	邵红梅,冯瑞,朱红,谢娟.中国人群结直肠癌危险因素的Meta分析[J].中国慢性病预防与控制,2014,22(02):174-177.
疾病史=肠息肉	肠癌	8.73	邵红梅,冯瑞,朱红,谢娟.中国人群结直肠癌危险因素的Meta分析[J].中国慢性病预防与控制,2014,22(02):174-177.
糖尿病 and 女	肝癌	 8.2 	叶家才,崔书中,巴明臣.原发性肝癌的流行病学特征及其危险因素[J].实用医学杂志.2008(24):1839-1841
治疗史=无乙肝疫苗接种史	乙肝	7.82	王华、江伟.中国人群乙型肝炎主要危险因素的Meta分析[J].江苏预防医学2010 年5月21(3):13
疾病史.其他=甲状腺良性疾病	甲状腺癌	7.31	陈芳,吴凯,徐明星,杨燕.基于病例对照研究的甲状腺癌危险因素[J].中华地方病学杂志,36(4):250-256
家族史.消化系统=乙肝	乙肝	6.9	王华、江伟.中国人群乙型肝炎主要危险因素的Meta分析[J].江苏预防医学2010 年5月21(3):13
疾病史.消化系统=慢性便秘或腹泻	肠癌	6.44	邵红梅,冯瑞,朱红,谢娟.中国人群结直肠癌危险因素的Meta分析[J].中国慢性病预防与控制,2014,22(02):174-177.
吸烟.量=吸烟	外周血管病	6.06	王勇、李觉、徐亚伟、布艾加尔·哈斯木、杨进刚、袁洪、胡大一.中国自然人群下肢外周动脉疾病患病率及相关危险因素[J].中华心血管病杂志2009年12月37(12):1129
治疗史=输血	丙肝	6.03	苏迎盈, & 汪宁. (2011). 丙型肝炎病毒感染主要危险因素的meta分析. 中华流行病学杂志, 32(9), 940-945.
疾病史.心脑血管=高血压	脑卒中	5.91	高东旗, 张洪达, 李宏, 宋文静, 胡晓羽, & GAODong-qi, et al. (2014). 中国人群脑卒中发病危险因素meta分析. 解放军医药杂志(5), 58-61.
疾病史.消化系统=胃病	胃癌	5.7	贺圣文, 赵仁宏, 王春平, & 秦浩. (2010). 胃癌危险因素的meta分析. 中国卫生统计, 27(2), 146-148.
家族史.癌症=胃癌	胃癌	5.4	贺圣文, 赵仁宏, 王春平, & 秦浩. (2010). 胃癌危险因素的meta分析. 中国卫生统计, 27(2), 146-148.
家族史.癌症=胃癌	胃癌	5.4	贺圣文, 赵仁宏, 王春平, & 秦浩. (2010). 胃癌危险因素的meta分析. 中国卫生统计, 27(2), 146-148.
家族史.癌症=胃癌	胃癌	5.4	贺圣文, 赵仁宏, 王春平, & 秦浩. (2010). 胃癌危险因素的meta分析. 中国卫生统计, 27(2), 146-148.
家族史.癌症=胃癌	胃癌	5.4	贺圣文, 赵仁宏, 王春平, & 秦浩. (2010). 胃癌危险因素的meta分析. 中国卫生统计, 27(2), 146-148.
家族史.癌症=胃癌	胃癌	5.4	贺圣文, 赵仁宏, 王春平, & 秦浩. (2010). 胃癌危险因素的meta分析. 中国卫生统计, 27(2), 146-148.
家族史.癌症=胃癌	胃癌	5.4	贺圣文, 赵仁宏, 王春平, & 秦浩. (2010). 胃癌危险因素的meta分析. 中国卫生统计, 27(2), 146-148.
症状=血便	肠癌	5.33	邵红梅,冯瑞,朱红,谢娟.中国人群结直肠癌危险因素的Meta分析[J].中国慢性病预防与控制,2014,22(02):174-177.
症状=血便	肠癌	5.33	邵红梅,冯瑞,朱红,谢娟.中国人群结直肠癌危险因素的Meta分析[J].中国慢性病预防与控制,2014,22(02):174-177.
家族史.癌症=甲状腺癌	甲状腺癌	5.13	陈芳,吴凯,徐明星,杨燕.基于病例对照研究的甲状腺癌危险因素[J].中华地方病学杂志,36(4):250-256
家族史.癌症=甲状腺癌	甲状腺癌	5.13	陈芳,吴凯,徐明星,杨燕.基于病例对照研究的甲状腺癌危险因素[J].中华地方病学杂志,36(4):250-256
家族史.癌症=甲状腺癌	甲状腺癌	5.13	陈芳,吴凯,徐明星,杨燕.基于病例对照研究的甲状腺癌危险因素[J].中华地方病学杂志,36(4):250-256
家族史.癌症=甲状腺癌	甲状腺癌	5.13	陈芳,吴凯,徐明星,杨燕.基于病例对照研究的甲状腺癌危险因素[J].中华地方病学杂志,36(4):250-256
家族史.癌症=甲状腺癌	甲状腺癌	5.13	陈芳,吴凯,徐明星,杨燕.基于病例对照研究的甲状腺癌危险因素[J].中华地方病学杂志,36(4):250-256
家族史.癌症=甲状腺癌	甲状腺癌	5.13	陈芳,吴凯,徐明星,杨燕.基于病例对照研究的甲状腺癌危险因素[J].中华地方病学杂志,36(4):250-256
性别=女	外周血管病	5.12	王勇、李觉、徐亚伟、布艾加尔·哈斯木、杨进刚、袁洪、胡大一.中国自然人群下肢外周动脉疾病患病率及相关危险因素[J].中华心血管病杂志2009年12月37(12):1129
疾病史.妇科=月经周期不规律	乳腺癌	5.05	郑艳敏, 沈月平, 刘银梅, et al. 中国女性乳腺癌危险因素Meta分析[J]. 中国公共卫生, 2012, 28(12):1645-1648.
生活方式=饮用沟塘水	肝癌	 5.0 	叶家才,崔书中,巴明臣.原发性肝癌的流行病学特征及其危险因素[J].实用医学杂志.2008(24):1839-1841
